typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
A,20170101,2017,52,2017,4,AFG,Afghanistan,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,132929097.0,False,8,kg,132929097.0,False,132929097.0,False,0.0,False,13734600.55,,13734600.55,0,False,True,
A,20170101,2017,52,2017,28,ATG,Antigua and Barbuda,M,Import,0,W00,World,0,W00,World,H3,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2192065.27,False,-1,,0.0,False,2192065.27,False,0.0,False,1217951.682,,1217951.682,0,False,True,
A,20170101,2017,52,2017,52,BRB,Barbados,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4272020.0,False,8,kg,4272020.0,False,4272020.0,False,,False,1870300.5,,1870300.5,0,False,True,
A,20170101,2017,52,2017,28,ATG,Antigua and Barbuda,M,Import,0,W00,World,0,W00,World,H3,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,3795.0,False,8,kg,3795.0,False,3795.0,False,0.0,False,3267.108,,3267.108,0,False,True,
A,20170101,2017,52,2017,28,ATG,Antigua and Barbuda,M,Import,0,W00,World,0,W00,World,H3,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,2100,Sea,8,kg,2188270.27,False,-1,,0.0,False,2188270.27,False,0.0,False,1214684.574,,1214684.574,0,False,True,
A,20170101,2017,52,2017,28,ATG,Antigua and Barbuda,M,Import,0,W00,World,0,W00,World,H3,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,599538.62,False,-1,,0.0,False,599538.62,False,0.0,False,209971.409,,209971.409,0,False,True,
A,20170101,2017,52,2017,28,ATG,Antigua and Barbuda,M,Import,0,W00,World,0,W00,World,H3,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C01,Clearance for home use,0,2100,Sea,8,kg,599538.62,False,-1,,0.0,False,599538.62,False,0.0,False,209971.409,,209971.409,0,False,True,
A,20170101,2017,52,2017,28,ATG,Antigua and Barbuda,M,Import,0,W00,World,0,W00,World,H3,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C20,CPC N.E.S.,0,0,TOTAL MOT,8,kg,1592526.65,False,8,kg,1592526.65,False,1592526.65,False,0.0,False,1007980.274,,1007980.274,0,False,True,
A,20170101,2017,52,2017,28,ATG,Antigua and Barbuda,M,Import,0,W00,World,0,W00,World,H3,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C20,CPC N.E.S.,0,1000,Air,8,kg,3795.0,False,8,kg,3795.0,False,3795.0,False,0.0,False,3267.108,,3267.108,0,False,True,
A,20170101,2017,52,2017,28,ATG,Antigua and Barbuda,M,Import,0,W00,World,0,W00,World,H3,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C20,CPC N.E.S.,0,2100,Sea,8,kg,1588731.65,False,8,kg,1588731.65,False,1588731.65,False,0.0,False,1004713.166,,1004713.166,0,False,True,
A,20170101,2017,52,2017,4,AFG,Afghanistan,X,Export,0,W00,World,0,W00,World,H2,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11951858.0,False,8,kg,11951858.0,False,11951858.0,False,0.0,False,,81581461.59,81581461.59,0,False,True,
A,20170101,2017,52,2017,8,ALB,Albania,M,Import,0,W00,World,0,W00,World,H5,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10096.0,False,8,kg,10096.0,False,10096.0,False,,False,18532.057,,18532.057,0,False,True,
A,20170101,2017,52,2017,8,ALB,Albania,X,Export,0,W00,World,0,W00,World,H5,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,108000.0,False,8,kg,108000.0,False,108000.0,False,,False,,124265.929,124265.929,0,False,True,
A,20170101,2017,52,2017,12,DZA,Algeria,M,Import,0,W00,World,0,W00,World,H5,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24000.0,False,8,kg,24000.0,False,24000.0,False,,False,79833.61,,79833.61,0,False,True,
A,20170101,2017,52,2017,12,DZA,Algeria,X,Export,0,W00,World,0,W00,World,H5,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,43869.0,False,8,kg,43869.0,False,43869.0,False,,False,,33970.66,33970.66,0,False,True,
A,20170101,2017,52,2017,20,AND,Andorra,M,Import,0,W00,World,0,W00,World,H5,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3285.6,False,8,kg,3285.6,False,3285.6,False,0.0,False,10722.767,,10722.767,0,False,True,
A,20170101,2017,52,2017,24,AGO,Angola,M,Import,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20511.0,False,8,kg,20511.0,False,20180.97,False,,False,114132.84,96387.77,114132.84,0,False,True,
A,20170101,2017,52,2017,24,AGO,Angola,X,Export,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.0,False,8,kg,3.0,False,2.0,False,,False,,14.93,14.93,0,False,True,
A,20170101,2017,52,2017,28,ATG,Antigua and Barbuda,M,Import,0,W00,World,0,W00,World,H3,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1728.11,False,-1,,0.0,False,1728.11,False,0.0,False,4656.466,,4656.466,0,False,True,
A,20170101,2017,52,2017,31,AZE,Azerbaijan,M,Import,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,77130.48,False,8,kg,77130.48,False,77130.48,False,0.0,False,178018.1,,178018.1,0,False,True,
A,20170101,2017,52,2017,31,AZE,Azerbaijan,X,Export,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2456.0,False,8,kg,2456.0,False,2456.0,False,0.0,False,,6601.06,6601.06,0,False,True,
A,20170101,2017,52,2017,32,ARG,Argentina,M,Import,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,109500.0,False,8,kg,109500.0,False,109500.0,False,,False,522652.51,512949.77,522652.51,0,False,True,
