typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
A,20000101,2000,52,2000,8,ALB,Albania,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,17837291.0,False,-1,,,False,17837291.0,False,,False,5728200.0,,5728200.0,0,False,False,
A,20000101,2000,52,2000,20,AND,Andorra,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,308916.0,False,-1,,,False,308916.0,False,,False,212054.0,,212054.0,0,False,False,
A,20000101,2000,52,2000,20,AND,Andorra,X,Export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,576.0,False,-1,,,False,576.0,False,,False,,525.0,525.0,0,False,False,
A,20000101,2000,52,2000,28,ATG,Antigua and Barbuda,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1214876.0,False,-1,,,False,1214876.0,False,,False,767367.0,,767367.0,0,False,False,
A,20000101,2000,52,2000,28,ATG,Antigua and Barbuda,RX,Re-export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1787.0,False,-1,,,False,1787.0,False,,False,,,1220.0,0,False,False,
A,20000101,2000,52,2000,28,ATG,Antigua and Barbuda,X,Export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1787.0,False,-1,,,False,1787.0,False,,False,,1220.0,1220.0,0,False,False,
A,20000101,2000,52,2000,31,AZE,Azerbaijan,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3167730.0,False,-1,,,False,3167730.0,False,,False,1610078.0,,1610078.0,0,False,False,
A,20000101,2000,52,2000,32,ARG,Argentina,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,339963332.0,False,-1,,,False,339963332.0,False,,False,85455964.0,,85455964.0,0,False,False,
A,20000101,2000,52,2000,32,ARG,Argentina,X,Export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,412041.0,False,-1,,,False,412041.0,False,,False,,100264.0,100264.0,0,False,False,
A,20000101,2000,52,2000,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,27670.0,False,-1,,,False,27670.0,False,,False,,14728.0,14728.0,0,False,False,
A,20000101,2000,52,2000,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9296.0,False,-1,,,False,9296.0,False,,False,,28145.0,28145.0,0,False,False,
A,20000101,2000,52,2000,40,AUT,Austria,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,92858304.0,True,-1,,,False,92858304.0,True,,False,59792242.0,,59792242.0,6,False,False,
A,20000101,2000,52,2000,40,AUT,Austria,X,Export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13742500.0,False,-1,,,False,13742500.0,False,,False,,9578861.0,9578861.0,0,False,False,
A,20000101,2000,52,2000,44,BHS,Bahamas,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5008803.0,True,-1,,,False,5008803.0,True,,False,3059110.0,,3059110.0,6,False,False,
A,20000101,2000,52,2000,48,BHR,Bahrain,M,Import,0,W00,World,0,W00,World,H0,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11167612.0,False,-1,,,False,11167612.0,False,,False,4774370.0,,4774370.0,0,True,False,
A,20000101,2000,52,2000,48,BHR,Bahrain,RX,Re-export,0,W00,World,0,W00,World,H0,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,149954.0,False,-1,,,False,149954.0,False,,False,,,47402.0,0,True,False,
A,20000101,2000,52,2000,48,BHR,Bahrain,X,Export,0,W00,World,0,W00,World,H0,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,149954.0,False,-1,,,False,149954.0,False,,False,,47402.0,47402.0,0,True,False,
A,20000101,2000,52,2000,50,BGD,Bangladesh,M,Import,0,W00,World,0,W00,World,H0,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,61257.0,False,-1,,,False,61257.0,False,,False,29285.0,,29285.0,0,True,False,
A,20000101,2000,52,2000,51,ARM,Armenia,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,857768.0,False,-1,,,False,857768.0,False,,False,582868.0,,582868.0,0,False,False,
